Name,Ingredients,Garnish,Preparation
bunny poison,"2 oz rhubarb cucumber & mint-infused junipero gin, .75 oz lemon juice, .75 oz tempus fugit alessio vermouth bianco, .5 oz rhubarb juice, .5 oz grapefruit juice, .5 oz rhubarb syrup, 2 dash fee brothers celery bitters",cucumber peel,"combine all ingredients in perlini sparkling cocktail shaker, shake and double strain into cocktail glass. (for home use, combine all ingredients, add ice shake 30 seconds and double strain into coupe, add splash of soda water.)
spray with atomized old tom gin.
garnish with cucumber peel or candied rhubarb slice.

*rhubarb cucumber & mint-infused junipero gin:
-- 1 bottle junipero gin
-- 1 qt chopped rhubarb
-- 1 chopped large english cucumber
-- .5 bunch (15g) fresh mint (with stems)

combine all ingredients in vacuum sealed bag and circulate at 53º for 2 hours. (for home use, combine all ingredients in plastic container and let rest for one week.)

*rhubarb syrup:
juice 1 qt (8-10 stalks)
add to 1 qt of unbleached cane sugar in saucepan and bring to simmer.
remove from heat, allow to cool and strain in chinoise."
see you t'amaro,"1.5 oz luxardo amaro abano, .5 oz lemon juice, .25 oz simple syrup, .5 oz egg white, 1 dash fee bros rhubarb bitters",nutmeg,"combine all ingredients in shaker. dry shake for 10 seconds, add ice and shake for 30 seconds. strain into small tumbler. garnish with a sprinkle of grated nutmeg."
cut to the chase,"2 oz j.h. cutter whisky, .75 oz averna amaro, .5 oz alvear px sherry, 2 dash angostura bitters",orange twist,"combine all ingredients in to a mixing glass and add ice.

stir for about 10-15 seconds.

strain in to a cocktail coupe or a glass of your choosing.

garnish with an orange twist expressed over the top of the drink."
the lover's quarrel,"1 oz no.3 london dry gin, 1 oz maurin quina, .75 oz king's ginger liqueur, .5 oz honey jalapeño syrup, 1 oz orange juice, .5 oz lemon juice, 1 oz soda water","sliced peaches, jalapeños, lemons and oranges",combine all ingredients into a large punch bowl and add large ice cube/cubes. garnish liberally with slice fruits.
hophead dirty martini,"4 oz hophead vodka, .5 oz olive juice, 1 dash dry vermouth",olive,combine all ingredients into a mixing glass and add ice. shake and strain into a martini glass. garnish with an olive.
newton's theory,"2 oz nikka whisky taketsuru pure malt 12 yo, .75 oz c. drouin pommeau de normandie, .25 oz luxardo maraschino liqueur, 4 dash black walnut bitters",apple spheres,"combine all ingredients into a mixing glass and add ice. stir for about 10 seconds and then strain into a chilled cocktail coupe. garnish with skewered apple spheres and be thankful you're having a cocktail, and not having an apple shot off your head."
west coast vesper,"1 oz hophead vodka, 1 oz junipero gin, .5 oz maurin quina",orange peel,combine all ingredients into a mixing glass and add ice. stir until proper dilution and strain into a chilled coupe. garnish with an orange peel.
hophead old fashioned,"2 oz hophead vodka, .25 oz simple syrup, 2 dash angostura bitters, 1 dash fee brothers gin barrel aged bitters","dukes lemon zest, dukes grapefruit zest","combine all ingredients into a mixing glass and stir until proper dilution. strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest.
"
bacio romana,"1.5 oz luxardo bitter bianco, .5 oz barsol pisco, .5 oz luxardo maraschino liqueur, .5 oz dry vermouth","cinnamon stick, orange twist",combine all ingredients into mixing glass. add ice. stir until very cold. strain and fine strain to prevent ice chips in coupe glass. garnish with orange twist entwined around a cinnamon stick.
3 degrees,"1.75 oz no.3 london dry gin, .75 oz velvet falernum, .5 oz lime juice, .5 oz pear sage foam, 1 float prosecco",sage,"combine all ingredients with ice, shake, strain into martini glass, top with prosecco, garnish with sage."
jack cherry sour (2001 remix),"1.5 oz jack daniel's, .5 oz luxardo sangue morlacco cherry liqueur, 1 oz fresh lemon juice, .25 oz cane sugar syrup*, 1 dash angostura orange bitters","orange slice, luxardo cherry","combine all ingredients, add ice, and shake. double strain into an old fashioned glass and add fresh ice. garnish with an orange slice (1/4 wheel) and luxardo cherry (both speared).

*0.25 - 0.50 oz cane sugar syrup (to taste to allow variations in citrus flavor when batching)"
spring forward,"2 oz old tom gin, .5 oz noilly prat ambre vermouth, .5 oz pineapple juice, .5 oz lime juice, .25 oz rich simple (2:1), .75 float dry sparkling wine",edible flower petal,"combine all ingredients, minus the sparkling wine, into a tin. shake and double strain into a flute glass. top with a float of sparkling wine. garnish with an edible flower petal."
three flips,"1.5 oz no.3 london dry gin, 1.5 oz averna, .75 oz honey, 1 whole egg","nutmeg, shaved","combine all ingredients, shake for 20 seconds. add ice and shake again. strain into a snifter. garnish with shaved nutmeg."
buenaventura,".75 oz barsol primero quebranta pisco, .75 oz el tesoro reposado tequila, .5 oz grüner veltliner, .5 oz lime, .25 oz pineapple gum, 1 bsp sweet marmalade",orange peel,combine all ingredients. shake and strain into cocktail glass. garnish with an orange peel.
nieux carré,"1.5 oz karlsson's gold vodka, .75 oz gran duque d alba solera gran reserva brandy, .75 oz carpano antica vermouth, .25 oz benedictine, 1 tincture peychaud's bitters, 1 tincture angostura bitters",lemon twist,"combine all liquid ingredients in a chilled mixing glass with cracked ice and stir for 20 seconds.
double strain the cocktail over a large cube placed in an old-fashioned glass.
garnish with a lemon twist making sure to release all the essential oils out of the twist. also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
l.e.s. is more,"1.5 oz karlsson's gold vodka, .75 oz esprit de june, .5 oz fresh lemon juice, .5 oz simple syrup",lemon twist,"combine all liquid ingredients in a highball or collins glass with ice.
stir lightly and garnish with a lemon twist making sure to release all the essential oils out of the twist. also make sure to rub the entire rim of the glass with the twist before dropping it into the cocktail."
la perle de verre,"1 oz luxardo bitter bianco, 1 oz citadelle gin, 2 dash orange bitters, .25 oz rose poached pear syrup*, 1 oz topo chico mineral water, 1 oz fever-tree sparkling lemon",pear slice,"combine all liquids with exception of sodas, sir together. strain into collins glass with singular large cube. top with sodas. garnish with sliver of poached pear from syrup (kept chilled).

*rose poached pear syrup:
-- 1.5 c rose (la vielle ferme or similar)
-- 1.5 c water
-- 2 c sugar
-- 1 large lemon
-- 1 half orange
-- 1 tsp ground ginger (not fresh)
-- 1 tsp vanilla
-- 3-5 whole cloves

combine rose (la vielle ferme or similar), water, and sugar. bring to a simmer. add zest of lemon and an orange, ground ginger, vanilla, and cloves. peel and halve pears, set gently into liquid. keep just under a simmer for 15 mins. remove from heat, let cool at least 20 mins. pears will keep for 3 days refrigerated in syrup. the syrup itself will last longer."
a tall tell,"9 oz c. drouin calvados selection, 6 oz marrakesh mint tea, 6 oz prosecco, 3 oz king's ginger liqueur, 2 oz lemon juice, 1.5 oz velvet falernum, .5 oz dale degroff's pimento aromatic bitters","orange wheels studded with cloves, mint sprigs",combine all the ingredients except prosecco. add a large block of ice or large ice cubes and stir. top with prosecco. garnish with orange wheels studded with cloves and float some mint sprigs in the bowl.
cut and run,"1.5 oz j.h. cutter whisky, 1 oz  moroccan mint tea (chilled)*, .75 oz the king's ginger, .5 oz lemon juice, .25 oz rich honey syrup**","lemon wheel, mint sprig, blackberry","combine all the ingredients in a mixing glass and stir for about 10 seconds. strain in to an old fashioned glass or glass of your choosing. add large ice cubes. garnish with a lemon wheel, mint sprigs and a blackberry.

*moroccan mint tea (numi tea brand):
-- 1 moroccan mint tea bag
-- 8 oz. boiling water
 
combine the tea bag and the boiling water in a cup or a pot. let steep for 5 minutes. remove the tea bag and place the tea in the fridge to cool. label and date the container. will keep for 1 week.

**rich honey syrup:
-- 10 oz. honey
-- 5 oz. hot water

combine both ingredients together in a container and stir until fully incorporated. label and date the container. will keep in the fridge for 2 weeks."
the stand by,"2 oz junipero gin, .5 oz luxardo bitter, 1 bsp kalani coconut liqueur, 1 dash angostura bitters, 1 dash peychaud's bitters",lemon peel,combine all the ingredients in an old-fashioned glass. stir on the rocks. garnish with lemon peel.
second city sour,"2 oz hirsch small batch reserve bourbon, 1 oz fresh lemon juice, .5 oz orange-scented maple syrup*, 1 oz tempus fugit alessio vermouth di torino rosso",lemon twist,"combine bourbon, lemon juice, and syrup in a shaker and add cold ice. shake until chilled well (10-30 sec. depending on the quality of the ice). strain into a collins glass and slowly pour the vermouth into the glass. garnish with a lemon twist.

*orange-scented maple syrup:
combine 6 oz. of grade b maple syrup, 6 oz. filtered water and the peel of 1 orange, with a minimum amount of pith in a non-reactive pan.
simmer for 10 mins. remove from heat and allow it to cool to room temp. before using.
syrup will keep for 1 month if refrigerated."
california's callin',"1.5 oz junipero gin, .5 oz luxardo maraschino liqueur, 1 oz grapefruit juice, .75 oz lemon juice, 1 dash tempus fugit abbott's bitters,  to fill anchor california lager",grapefruit peel,"combine gin, maraschino, juices, and bitters in an ice-filled mixing tin and shake for 20-30 seconds, or until well chilled. strain over fresh ice into a collins glass, top with the california lager, and garnish with the grapefruit peel."
end of winter,"2 oz h by hine (brown butter-infused), 0.5 oz king's ginger liqueur, 3 dash fee brothers black walnut bitters",luxardo cherries,"combine h by hine, king's ginger liqueur, and bitters over ice in a mixing glass. stir until you reach proper dilution(15-20 seconds). strain over a large ice rock in a bucket glass and garnish with luxardo cherries."
hopped-up mule,"2 oz hophead vodka, .5 oz king's ginger liqueur, .75 oz lime juice,  top ginger beer",lime wheel,"combine hophead vodka, kings ginger, and lime juice in a collins glass and fill with ice. top with ginger beer. stir. garnish with a lime wheel."
bay city shandy,"1.5 oz hophead vodka, .75 oz giffard pamplemousse, .5 oz lemon juice, 2 dash orange bitters,  top ipa",,"combine hophead, lemon juice, giffard pamplemousse, honey syrup, and bitters in a shaker. add ice and shake vigorously. strain into a chilled glass. fill the glass with beer."
san fran shandy,"2 oz hophead vodka, .5 oz king's ginger liqueur, 3 oz breckle's brown ale, 1 oz fresh lemon juice, .5 oz honey syrup, .5 oz egg white, 2 dash angostura bitters",half orange wheel,"combine hophead, lemon juice, king's ginger, honey syrup, egg white, and bitters in a shaker and dry shake to emulsify egg whites. add ice and shake vigorously until proper dilution. strain into a chilled fizz glass. empty ice out of shakers and fill shaker with ale to create a froth. pour this froth over the drink and garnish with half an orange wheel.

"
west bank,"1.5 oz hine rare vsop, .5 oz cynar, .5 oz bywater spice mix*, 1 oz cold-brew coffee",,"combine ingredients and shake with ice. strain into a rocks glass over fresh ice. grate nutmeg on top.

*bywater spice mix: simple syrup infused with vietnamese cinnamon, licorice root, and clove"
hotaling white manhattan,"2 oz christmas spirit, 1 oz tempus fugit alessio vermouth bianco, .25 oz luxardo triplum (triple sec), 1 dash fee brother's orange bitters",orange twist,combine ingredients in a mixing glass and stir with ice. strain and serve up with an orange twist.
coffey grain manhattan,"2 oz nikka coffey grain whisky, 1 oz tempus fugit alessio vermouth di torino rosso, 1 dash tempus fugit abbott's bitters",flamed orange peel,combine ingredients in a mixing glass with ice and stir. strain into a coupe glass and garnish with a flamed orange peel.
shadowcat,"1 oz luxardo bitter bianco, 1 oz barr hill gin, .75 oz falernum, 1 oz topo chico mineral water, 1 dash lemon bitters","mint, lemon wedge","combine ingredients in a pint glass, stir with ice to chill. double strain into a coupe glass. garnish with mint and lemon wedge flag."
san francisco harvest,"1.5 oz junipero gin, .75 oz oloroso sherry, .75 oz lemon juice, .75 oz winter spice brown sugar syrup*, 1 oz pineapple juice",nutmeg,"combine ingredients in a shaker with ice. shake and double strain into a coupe glass. garnish with nutmeg.

*winter spice brown sugar syrup:
-- 2 qt brown sugar
-- 2 qt water
-- 3 tbsp ground ginger
-- 3 tbsp ground nutmeg
-- 1 tbsp clove

heat and simmer the below ingredients in a medium pot for 15 minutes. strain with cheesecloth."
martinez,"2 oz old tom gin, .75 oz tempus fugit alessio vermouth di torino rosso, .25 oz luxardo maraschino liqueur, 2 dash orange bitters",lemon peel,"combine ingredients in an ice-filled mixing glass and stir for 20 to 30 seconds, or until well chilled. strain into a chilled cocktail glass and garnish with the lemon peel."
negroni d'amore,"1.5 oz old tom gin, 1 oz barolo chinato, 1 oz tempus fugit kina l'aero d'or",orange peel,"combine ingredients in an old fashioned glass filled with ice, stir to combine, and garnish with orange peel."
radice amara,"1.5 oz luxardo bitter bianco, 1 oz reisetbauer carrot eau de vie, .75 oz genevieve gin",carrot ribbon,"combine ingredients in mixing glass, and stir with ice to dilution. strain into a coupe cocktail glass. garnish with a trimmed carrot ribbon."
don't rock the boat punch,"1 part no.3 london dry gin, 1 part rooibus tea (steeped and cooled), 1 part mulled cider (cooled), .5 part clover honey syrup, .33 part cava,   angostura",,"combine ingredients into a chilled punch bowl, ice and dilute appropriately, garnish seasonally."
miyagikyo kick,"1.5 oz nikka whisky miyagikyo single malt 12 yo, .75 oz rare wine co. charleston sercial madeira, .75 oz fresh lime juice, .625 oz small hands food orgeat",,"combine ingredients into a cocktail shaker.
shake with ice vigorously for 10-15 seconds.
strain into a chilled coupe glass. no garnish."
king's toddy,"1 oz no.3 london dry gin, .75 oz lemon juice, .5 oz king's ginger liqueur, .5 oz clover honey syrup",orange twist,"combine ingredients into a hot mug, top with hot water and garnish with a rough orange twist."
picadilly,"1.5 oz no.3 london dry gin, .5 oz pimms, 1 bsp luxardo amaretto di saschira, 1 oz fresh lime juice, .75 oz simple syrup, 5 leaves basil leaves",cucumber wheel,"combine ingredients into a mixing glass, add ice and shake until properly diluted. double strain into a glass over fresh ice, garnish with a cucumber wheel."
elgin elixir,"1 oz benriach single malt 12 yo, 1 oz c. drouin calvados selection, 1 oz luxardo aperitivo",,combine ingredients with ice in a mixing glass and stir. strain over a large cube in a rocks glass and garnish with an orange peel.
the canevari cocktail,"1.5 oz old tom gin, 1 oz cocchi vermouth di torino, .5 oz luxardo bitter, 3 dash angostura bitters",orange twist,"combine ingredients, stir until well chilled, and strain in to a cocktail glass. serve with an orange twist."
erasmus' revenge,"2 oz junipero gin, .5 oz carpano antica, 1 bsp calisaya, 3 dash the bitter truth grapefruit bitters",grapefruit peel,combine ingredients. pour over big cube and stir. add the grapefruit peel.
the sparkler,".75 oz luxardo bitter bianco, .75 oz dolin blanc, 2.5 oz prosecco",long grapefruit peel,combine luxardo bitters and dolin blanc. stir in mixing glass until chilled. strain into flute. top with prosecco. zest with grapefruit. garnish with long grapefruit zest.
shroud of the inca,"1 oz luxardo bitter bianco, .25 oz castilian tincture*, .75 oz barsol supremo moste verde italia pisco, 2 oz prosecco",candied blood orange wheel**,"combine luxardo, barsol, and tincture. ice, stir, and strain into chilled coupe. top with prosecco. gently set candied blood orange wheel (thinly sliced) garnish into drink and serve.

*castillian tincture:
-- 750 ml luxardo grappa euganea
-- 20 g sliced blanched almond
-- 2 g spanish saffron
-- 3 sliced madagascan vanilla beans
-- 3 g toasted green cardamom
-- 4 lemon peels (pith removed)
-- 2 quartered dried pajarero figs
-- 2 quartered quartered medjool dates

combine all ingredients, gently agitate twice daily for 14 days. fine filter and store.

**candied blood orange wheels:
-- 1 blood orange (sliced thin - approx. 10 slices/orange)
-- .5 c natural sugar
-- .25 c water
-- 2 tbsp corn syrup

combine sugar, water, and corn syrup in shallow saucepan. slow simmer on low heat approx. 10 min. when thickened mixture begins to cling to sides of pan, add orange slices. allow to simmer for 5 more min. and remove from hardening syrup. place slices on parchment-lined oven rack. air dry overnight, then bake 10 min. at 400°f (or dehydrate them)."
new beginnings,".75 oz luxardo bitter bianco, .75 oz avua cachaca prata, .75 oz broker's london dry gin, .75 oz coconut water, 2 dash toasted coconut tincture*, 1 dash almond extract,  top fever-tree mediterranean tonic water",sliced almonds,"combine luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). add ice. stir for proper dilution (30-40 revolutions). pour in collins glass over a clarified ice sphere. top cocktail with fever-tree. add 3 almond slices for garnish.

*toasted coconut tincture:
-- 4 oz (by weight) semisweet coconut flakes
-- high-proof neutral grain spirit (preferably everclear)

lightly toast semisweet coconut flakes. put in a small mason jar. fill jar with high-proof neutral grain spirit. let sit for 3 days then strain off."
fuji-la,".5 oz luxardo bitter bianco, 1 oz junipero gin, 1.5 oz apple water*, 1 ml citric acid solution**",fuji apple slice,"combine luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. double strain into a coupe glass and garnish with a slice of fuji apple lightly dusted with cinnamon.

*apple water:
-- 1 fuji apple
-- 2 c water

slice fuji apple and combine with water. vacuum seal and place in a sous-vide for 3-4 hrs at 130°f. strain apples; water is ready for use.

**citric acid solution:
-- 1 ml gram citric acid
-- 3 ml water

combine citric acid and water. stir until dissolved."
the cliffdiver,"1.25 oz d'aristi 10 yr rum, .5 oz the genuine curacao liqueur blue, .25 oz tempus fugit liqueur de violettes, 1 oz lime juice, .5 oz tahitian vanilla bean syrup, 1 float ginger beer, 3 dash angostura bitters","grilled pineapple wedge, luxardo cherries, edible orchid","combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. double strain into a chilled collins glass. add fresh ice in the collins glass and top with chilled ginger beer. float 2-3 dashes of angostura bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two luxardo cherries speared through a toothpick, and edible orchid placed on top hanging from the rim."
irish goodbye,"1.5 oz nikka coffey grain whisky, .25 oz absinthe, 4 oz hot coffee, 2-3 oz homemade irish cream",star anise,"combine the coffee and whiskey in a preheated cup. top with irish cream and pour the absinthe over the back of a spoon to float. garnish.
"
beachcomber,"1.5 oz light rum, .75 oz  cointreau, .75 oz lime juice, .25 oz luxardo maraschino liqueur, .125 oz simple syrup (optional)",,combine the ingredients in a boston shaker or cocktail shaker. add ice and shake vigorously for 10 seconds. strain the contents into a chilled cocktail glass.
old tom and the sea,"1.5 oz old tom gin, 1 oz tempus fugit alessio vermouth bianco, .5 oz luxardo sangue morlacco cherry liqueur, .5 oz lemon juice","lemon, cherry flag","combine the ingredients. shake and strain over ice. lemon and/or cherry flag garnish.

add soda water if you'd like to water it down."
salty swede,"2 oz karlsson's gold vodka, 2 oz fresh grapefruit juice, 1 oz club soda, 1 tincture grapefruit bitters",,combine the karlsson's gold vodka and grapefruit in a shaker with ice. shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. top the cocktail with the club soda.
the last tango,"1.5 oz junipero gin, 1 oz giffard elderflower liqueur, 1 oz lime juice, 8-9 drops chili tincture*, 6  luxardo maraschino cherries",lime wheel,"combine the lime, elderflower, tincture and cherries into a shaker tin. muddle the cherries and then add the junipero gin. shake with ice. double strain into a chilled cocktail glass. garnish with a lime wheel.

*chili tincture:
-- chiles (habaneros or bird’s eye chiles recommended)
-- grain alcohol or vodka

fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. let soak for 3 days; strain."
pink & black,"2 oz pink pigeon rum, 3 oz coca-cola, .5 oz lime juice",,"combine the pink pigeon, the cola, and the lime juice, in a tall collins glass full of ice cubes."
pink & ginger,"2 oz pink pigeon rum, 3 oz ginger beer, .5 oz lime juice",,"combine the pink pigeon, the ginger beer, and the lime juice, in a tall collins glass full of ice cubes."
a regal air,"3 oz domingo perez marin 'la guita' manzanilla sherry, .5 oz king's ginger liqueur, .25 oz chartreuse , .25 oz juice of an orange",,combine these ingredients and roll gently over ice and strain into a martini glass. top with pumpkin foam.
king's mule,"1.5 oz absolut vodka, .5 oz king's ginger liqueur, 1 oz fresh lemon juice , 1 oz ginger-cinnamon syrup*, 2 dash bar keep lavender spice bitters,  top club soda",lemon twist,"combine vodka, ginger liqueur, lemon juice, ginger-cinnamon syrup and bitters in tins with ice and shake. double strain into collins glass over fresh ice and top with club soda.

*ginger-cinnamon syrup:
equal parts demerara sugar, clover honey, fresh ginger juice, water. combine demerara sugar and clover honey and top with boiling water. stir to dissolve. once cooled add fresh ginger juice and stir to mix."
caipirinha,"4 pieces lime, 1-2 tbsp sugar, 1 1/2 oz ypiòca",,cut a lime in 4 pieces and put them in a glass. add 1-2 tablespoons of sugar and crush with a pestle. add ypiòca. fill with crushed ice. stir well and enjoy!
bubbly bird,"1 oz pink pigeon rum, 1 fill champagne, 1 dash angostura bitters, 1 dash peach bitters, 1 dash luxardo fernet",lemon twist,dash each bitter and the fernet over sugar cube in base of champagne glass so that the sugar is fully saturated with mixture. add pink pigeon rum and top with chilled champagne. garnish with a twist of lemon.
framboise de pigeon,"2 oz pink pigeon rum, .5 oz briottet creme de framboise (raspberry), .5 oz lemon juice, .25 oz simple syrup*",sweet paprika,double strain into a martini glass.
far from the tree,"1.5 oz c. drouin calvados selection, .75 oz orgeat, .5 oz lemon juice, 1 oz pear & celery puree, .5  egg white",aged kaffir lime zest,"dry shake (no ice), wet shake (with ice) & double strain."
luxardo sour,"1.25 oz luxardo amaretto di saschira, 1 oz rye whiskey, 1 oz lemon juice, .75 oz angostura bitters, 1  egg white",lemon twist,dry shake all ingredients for 20-30 seconds. then shake with ice. double strain over fresh ice in an old fashioned glass. garnish with wide lemon swath.
the molino,"1.5 oz bourbon, .5 oz luxardo amaretto di saschira, .5 oz demerara syrup (1:1), .75 oz lemon juice, 1  egg white",luxardo cherry,dry shake all ingredients. hard shake with ice. double strain into small pilsner glass. garnish with luxardo cherry.
the king's egg nog,"1 oz no.3 london dry gin, .5 oz king's ginger liqueur, .25 oz english harbour rum, 3 spoon sugar, 1 whole egg, .5 oz milk, .5 oz cream","nutmeg, grated",dry shake and then shake with hand cracked ice. serve in a goblet with grated nutmeg.
white walker flip,"1 oz glenrothes vintage reserve, 1 oz king's ginger liqueur, .25 oz green chartreuse, .75 oz sweetened apple cider, 2 dash baked apple bitters, 1 whole egg",king's ginger-infused apple wheels,dry shake whole egg until emulsified. then add kold draft ice and all ingredients except bitters and shake vigorously until cold. strain into chilled royal coupette and garnish with apple wheels.
hibiscus pisco sour,"2 oz barsol primero quebranta pisco, .75 oz lime juice, .75 oz hibiscus/rose syrup, 1  egg white",,"dry shake, add ice and shake again. strain into a coupe glass."
lux japanese lemonade,"1.5 oz no.3 london dry gin, .5 oz jummai ginjo sake, .25 oz luxardo limoncello, .25 oz dill cordial, .5 oz meyer lemon juice, .25 oz yuzu juice, .5 oz fresh egg white",dill,"dry shake, add ice and shake for 10 seconds. double strain into a copita glass. garnish with dill."
flip and flight,"30 ml pink pigeon rum, 15 ml dry oloroso sherry, 15 oz grenadine, 1 whole egg,   vanilla-salt spray",,"dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution."
dry mauritian sour,"40 ml pink pigeon rum, 10 ml campari, 10 ml lavender syrup, 10 ml lemon juice , 10 ml orange juice, 25 ml egg white",,"dry shake, shake with cubed ice, double strain into chilled glass."
platonic snuggle,".5 oz h by hine, .5 oz el dorado 12 year old rum, .5 oz hamilton black jamaican pot still rum, .5 oz cinnamon syrup, .5 oz heavy cream, 1 tsp st. elizabeth allspice dram, 1 whole egg,  top founders porter","orange twist, grated nutmeg","dry shake, strain, top with porter."
the brightside,"1.5 oz pink pigeon rum, 2.5 oz fresh orange juice, 1 tbsp luxardo bitter, 1 dash milk powder (or cream)",,"dry shake, then serve old-fashioned glass with crushed ice. drizzle bitter on top to finish."
the king's froth & frizz,"1 oz barsol selecto italia pisco, 1.25 oz king's ginger liqueur, .5 oz peach brandy, .5 oz lemon juice, .5 oz egg white",star anise,"dry shake, then shake with ice. double strain into flute or sour glass. top with a saison.

zest orange over top and garnish with a star anise.
"
the queen's a redhead,"50 ml king's ginger liqueur, 4  pink peppercorns, 25 ml fresh lemon juice, 15 ml gomme syrup, 25 ml egg white",small grind of black pepper,"dry shake, then shake with ice. double strain over cubed ice."
delicious sour,"2 oz c. drouin calvados selection, .75 oz lemon juice, .75 oz giffard abricot du roussillon, .5 oz egg white",lemon twist,"dry shake. add ice, shake. double strain into a frozen coupe glass. garnish with lemon twist or dehydrated apple slice."
jalapeño sour,"2 oz chinaco blanco tequila, .5 oz green chartreuse, .5 oz lime juice, 1 oz pineapple juice, .5 oz jalapeño syrup, .5 oz egg white",jalapeño slice,"dryshake/shake/dblrocks

garnish jalapeño slice"
hanny's hot apple toddy,"1.5 oz luxardo amaretto di saschira, 8 oz apple cider,  oz heavy cream,  oz cinnamon",cinnamon,"fill a 10-oz mug with boiling water. when the mug is hot, pour out the water and add the amaretto and cider. top with a layer of cream. grate fresh cinnamon on top as a garnish."
the alpine mist,"2 oz mezcal, 2 oz reed's premium ginger brew, 1 tsp seedless blackberry jam, 1  lime, juiced, 12  mint leaves, muddled","mint leaf, orange peel",fill a cocktail shaker with ice. add all ingredients except the garnish and shake well. stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. garnish with a mint leaf and orange peel. right before serving drop in a chip of dry ice for the mist.
division bell,"1 oz mezcal, .75 oz aperol, .5 oz luxardo maraschino liqueur, .75 oz lime juice",grapefruit twist,fill a cocktail shaker with ice. add ingredients and shake well. strain into a chilled coupe or martini glass and garnish with the grapefruit twist.
golden gun,"1 oz blended lightly aged rum, 1 oz blended aged rum, .75 oz lime juice, .5 oz luxardo apricot liqueur, .5 oz sc demerara syrup*, .5 oz grapefruit juice, 2 dash angostura bitters",,"fill a collins or highball glass with cracked or cubed ice. add all the ingredients to a cocktail shaker filled with cracked or cubed ice. shake and strain into the glass.

*sc demerara syrup:
-- 2 c water
-- 1 c demerara sugar
-- 3 c granulated sugar

bring water to boil in a saucepan over high heat. add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). add granulated sugar and stir vigorously until dissolved, about 1 minute. remove from heat and let cool."
grown-up shirley temple,"1 oz luxardo cherry syrup (from jar of cherries), .25 oz fresh lemon juice (optional), 6 oz soda water",luxardo cherry,"fill a highball glass with ice, and build the syrup, lemon juice, and soda water. stir, and garnish with a luxardo maraschino cherry."
japanese cocktail,"2 oz h by hine, .5 oz luxardo orgeat syrup, 3 dash angostura bitters",lemon peel,"fill a mixing glass half full with ice. add cognac, orgeat, and bitters. stir well. strain into chilled cocktail glass. twist lemon peel over the drink and drop in as a garnish."
vinterpäls,"1.5 oz karlsson's gold vodka, .5 oz luxardo amaretto di saschira, .5 oz benedictine, .5 oz orange juice, .5 oz honey",long orange peel studded with cloves,"fill a mug with very hot water to warm the glass up. once the glass is hot, empty it and add all the liquid ingredients. stir well until the honey is incorporated. garnish with the clove studded orange peel and enjoy."
a southern jackass,"1.5 oz prichard's lincoln county lightning, .5 oz king's ginger liqueur, .5 oz cinnamon-candied ginger syrup*, 3 dash angostura bitters,  top club soda","lemon wheel, sliver of cinnamon-candied ginger","fill a shaker with an old fashioned glass worth of ice. add all ingredients except for the club soda. shake vigorously for 20 seconds, then dump into old fashioned glass. set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.

*cinnamon candied ginger syrup:
combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. continue to barely simmer for 30 minutes. add 1 cup of demerara sugar and stir until fully dissolved. lower heat and keep just below simmering. continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. remove cinnamon sticks and reserve syrup."
mayan sacrifice champagne cocktail,".5 oz chinaco blanco tequila, .5 oz d'aristi xtabentun honey liqueur",,"fill chinaco stemmed flute with prosecco, cava or other dry sparkling.
garnish with luxardo cherry pinned inside of lemon peel and rested across rim.
the cherry garnish which will be ever so delicately laid across the top of the glass, should flame in my opinion. you can dip the in high-proof spirits and light it up!
"
pacific kick,"1 oz japanese whisky, 3 oz amaro angeleno, 1 oz luxardo orgeat syrup, 1 oz lemon juice",,fill shaker with ingredients and ice. shake. strain into old fashioned or rocks glass filled with ice.
citrus quo (adapted),"1.5 oz no.3 london dry gin, .5 oz luxardo limoncello, .5 oz luxardo aperitivo, 3 oz tonic water",grapefruit spiral,"fill up a stem-less wine glass with ice and pour the ingredients over, stir and serve."
